,Timestamp,S_M_10cm,S_M_45cm,S_M_80cm,Temperature,Humidity,Pressure,Luxes,Battery,Readings,a,b,c
0,1606481137,1265.82,5882.35,6666.66,25.22,47.34,99217.55,5442.0,29,1, Fri, 20/11/27, 12:45:37
1,1606481216,1265.82,5882.35,6666.66,25.44,47.53,99212.88,5272.0,30,2, Fri, 20/11/27, 12:46:56
2,1606481295,1269.03,5882.35,6666.66,25.57,45.59,99209.69,5406.0,30,3, Fri, 20/11/27, 12:48:15
3,1606481374,1269.03,5882.35,6666.66,25.45,44.47,99202.01,3354.0,23,4, Fri, 20/11/27, 12:49:34
4,1606481453,1272.26,5813.95,6578.94,24.98,45.36,99193.50,6400.0,30,5, Fri, 20/11/27, 12:50:53
5,1606481532,1272.26,5882.35,6666.66,25.1,47.38,99203.10,6591.0,30,6, Fri, 20/11/27, 12:52:12
6,1606481611,1275.51,5882.35,6666.66,25.45,44.69,99205.80,6525.0,30,7, Fri, 20/11/27, 12:53:31
7,1606481690,1278.77,5882.35,6666.66,25.48,45.04,99203.12,6495.0,30,8, Fri, 20/11/27, 12:54:50
8,1606481769,1275.51,5813.95,6666.66,25.67,44.24,99199.99,6450.0,30,9, Fri, 20/11/27, 12:56:09
9,1606481848,1278.77,5882.35,6578.94,25.84,43.82,99194.38,6529.0,30,10, Fri, 20/11/27, 12:57:28
10,1606481927,1282.05,5813.95,6666.66,25.96,44.51,99195.51,6380.0,30,11, Fri, 20/11/27, 12:58:47
11,1606482006,1282.05,5813.95,6666.66,26.04,43.34,99196.90,6526.0,30,12, Fri, 20/11/27, 13:00:06
12,1606482093,1282.05,5882.35,6578.94,26.05,42.33,99194.19,6535.0,30,13, Fri, 20/11/27, 13:01:33
13,1606482181,1288.65,5813.95,6666.66,26.11,41.86,99193.98,6611.0,30,14, Fri, 20/11/27, 13:03:01
14,1606482282,1285.34,5813.95,6666.66,26.19,42.56,99201.89,6625.0,30,15, Fri, 20/11/27, 13:04:42
15,1606482361,1291.98,5813.95,6666.66,26.29,42.59,99187.26,6627.0,30,16, Fri, 20/11/27, 13:06:01
16,1606482441,1288.65,5882.35,6666.66,26.19,43.96,99197.51,6544.0,25,17, Fri, 20/11/27, 13:07:21
17,1606482520,1291.98,5882.35,6666.66,26.34,44.82,99194.60,6419.0,30,18, Fri, 20/11/27, 13:08:40
18,1606482600,1291.98,5882.35,6578.94,26.54,42.82,99182.69,6562.0,31,19, Fri, 20/11/27, 13:10:00
19,1606482680,1298.7,5882.35,6578.94,26.5,43.17,99182.65,6586.0,30,20, Fri, 20/11/27, 13:11:20
20,1606482760,1295.33,5882.35,6578.94,26.65,43.4,99181.62,6620.0,31,21, Fri, 20/11/27, 13:12:40
21,1606482840,1295.33,5813.95,6666.66,26.79,43.41,99190.38,6725.0,31,22, Fri, 20/11/27, 13:14:00
22,1606482920,1298.7,5882.35,6666.66,26.85,42.16,99188.19,6522.0,31,23, Fri, 20/11/27, 13:15:20
23,1606483000,1302.08,5813.95,6666.66,26.68,40.98,99184.08,6545.0,31,24, Fri, 20/11/27, 13:16:40
24,1606483080,1305.48,5882.35,6666.66,26.53,41.69,99184.86,6544.0,31,25, Fri, 20/11/27, 13:18:00
25,1606483174,1302.08,5882.35,6666.66,26.23,42.74,99170.92,6482.0,31,26, Fri, 20/11/27, 13:19:34
26,1606483254,1305.48,5813.95,6666.66,26.18,42.05,99174.72,6412.0,31,27, Fri, 20/11/27, 13:20:54
27,1606483364,1308.9,5952.38,6666.66,26.05,42.36,99174.92,6585.0,31,28, Fri, 20/11/27, 13:22:44
28,1606483444,1308.9,5813.95,6578.94,26.25,42.07,99173.64,6582.0,31,29, Fri, 20/11/27, 13:24:04
29,1606483524,1305.48,5813.95,6666.66,26.45,41.79,99166.08,6537.0,23,30, Fri, 20/11/27, 13:25:24
30,1606483604,1312.33,5952.38,6666.66,26.52,42.79,99170.44,6655.0,31,31, Fri, 20/11/27, 13:26:44
31,1606483684,1312.33,5882.35,6666.66,26.68,40.98,99162.02,6477.0,31,32, Fri, 20/11/27, 13:28:04
32,1606483764,1308.9,5813.95,6666.66,26.7,42.2,99168.88,6495.0,32,33, Fri, 20/11/27, 13:29:24
33,1606483844,1315.78,5882.35,6666.66,26.72,41.26,99162.10,6469.0,32,34, Fri, 20/11/27, 13:30:44
34,1606483924,1315.78,5882.35,6578.94,26.64,39.59,99164.49,6511.0,32,35, Fri, 20/11/27, 13:32:04
35,1606484004,1315.78,5882.35,6666.66,26.47,39.67,99157.64,6335.0,32,36, Fri, 20/11/27, 13:33:24
36,1606484098,1319.26,5952.38,6666.66,26.52,40.57,99153.30,6302.0,32,37, Fri, 20/11/27, 13:34:58
37,1606484178,1322.75,5882.35,6666.66,26.51,41.42,99150.86,6441.0,32,38, Fri, 20/11/27, 13:36:18
38,1606484258,1322.75,5952.38,6666.66,26.62,40.76,99151.42,6400.0,29,39, Fri, 20/11/27, 13:37:38
39,1606484338,1322.75,5952.38,6666.66,26.65,41.39,99146.28,6299.0,32,40, Fri, 20/11/27, 13:38:58
40,1606484439,1322.75,5952.38,6578.94,26.85,41.51,99140.32,6199.0,32,41, Fri, 20/11/27, 13:40:39
41,1606484519,1326.25,5952.38,6578.94,26.94,41.11,99146.60,6189.0,32,42, Fri, 20/11/27, 13:41:59
42,1606484613,1326.25,5952.38,6666.66,27.17,40.31,99145.22,6168.0,26,43, Fri, 20/11/27, 13:43:33
43,1606484693,1333.33,5952.38,6578.94,27.17,38.93,99144.39,6210.0,29,44, Fri, 20/11/27, 13:44:53
44,1606484773,1329.78,5882.35,6666.66,27.01,38.93,99135.40,6190.0,24,45, Fri, 20/11/27, 13:46:13
45,1606484853,1329.78,5952.38,6666.66,26.88,39.53,99132.98,5996.0,26,46, Fri, 20/11/27, 13:47:33
46,1606484933,1336.89,5952.38,6578.94,27.01,40.6,99127.25,6018.0,26,47, Fri, 20/11/27, 13:48:53
47,1606485013,1336.89,5952.38,6578.94,27.12,40.4,99136.75,6016.0,24,48, Fri, 20/11/27, 13:50:13
48,1606485093,1333.33,5952.38,6666.66,27.07,40.22,99129.69,5872.0,27,49, Fri, 20/11/27, 13:51:33
49,1606485173,1336.89,5952.38,6666.66,27.2,38.99,99129.98,5902.0,25,50, Fri, 20/11/27, 13:52:53
50,1606485253,1340.48,5882.35,6666.66,27.3,38.84,99129.12,5814.0,25,51, Fri, 20/11/27, 13:54:13
51,1606485333,1340.48,5882.35,6666.66,27.37,40.2,99129.69,5747.0,25,52, Fri, 20/11/27, 13:55:33
52,1606485413,1340.48,5952.38,6578.94,27.46,37.71,99126.12,5687.0,25,53, Fri, 20/11/27, 13:56:53
53,1606485514,1340.48,5882.35,6666.66,27.47,39.25,99124.22,5767.0,33,54, Fri, 20/11/27, 13:58:34
54,1606485594,1344.08,5952.38,6578.94,27.42,39.37,99125.31,5738.0,33,55, Fri, 20/11/27, 13:59:54
55,1606485674,1344.08,5882.35,6666.66,27.42,39.48,99121.50,5687.0,33,56, Fri, 20/11/27, 14:01:14
56,1606485754,1347.7,5952.38,6578.94,27.54,38.76,99123.11,5643.0,33,57, Fri, 20/11/27, 14:02:34
57,1606485849,1351.35,5952.38,6578.94,27.69,39.12,99125.50,5610.0,33,58, Fri, 20/11/27, 14:04:09
58,1606485929,1351.35,5882.35,6666.66,27.71,38.88,99119.76,5536.0,28,59, Fri, 20/11/27, 14:05:29
59,1606486009,1351.35,5952.38,6666.66,27.57,37.48,99112.48,5577.0,33,60, Fri, 20/11/27, 14:06:49
60,1606486089,1355.01,5952.38,6666.66,27.38,38.56,99120.40,5569.0,33,61, Fri, 20/11/27, 14:08:09
61,1606486169,1358.69,5882.35,6666.66,27.35,39.07,99121.24,5445.0,33,62, Fri, 20/11/27, 14:09:29
62,1606486249,1355.01,5952.38,6666.66,27.38,38.87,99119.35,5424.0,33,63, Fri, 20/11/27, 14:10:49
63,1606486329,1358.69,5952.38,6666.66,27.19,38.48,99123.15,5331.0,33,64, Fri, 20/11/27, 14:12:09
64,1606486409,1358.69,5952.38,6578.94,27.12,38.82,99120.:0,5485.0,33,65, Fri, 20/11/27, 14:13:29
65,1606486489,1358.69,5952.38,6666.66,27.02,38.85,99114.45,5464.0,33,66, Fri, 20/11/27, 14:14:49
66,1606486591,1362.39,5952.38,6578.94,26.96,37.83,99111.76,5406.0,33,67, Fri, 20/11/27, 14:16:31
67,1606486671,1362.39,5952.38,6666.66,27.1,38.45,99116.62,5385.0,33,68, Fri, 20/11/27, 14:17:51
68,1606486751,1366.12,5952.38,6578.94,27.35,37.92,99110.89,5377.0,33,69, Fri, 20/11/27, 14:19:11
69,1606486831,1366.12,5952.38,6578.94,27.38,37.22,99104.90,5389.0,33,70, Fri, 20/11/27, 14:20:31
70,1606486911,1366.12,5952.38,6578.94,27.22,37.9,99113.35,5114.0,33,71, Fri, 20/11/27, 14:21:51
71,1606486991,1366.12,5952.38,6578.94,27.26,37.4,99110.06,5167.0,33,72, Fri, 20/11/27, 14:23:11
72,1606487071,1366.12,5952.38,6666.66,27.28,37.92,99112.25,5272.0,33,73, Fri, 20/11/27, 14:24:31
73,1606487151,1369.86,5952.38,6666.66,27.37,37.21,99111.70,5272.0,33,74, Fri, 20/11/27, 14:25:51
74,1606487231,1369.86,5952.38,6666.66,27.36,38.36,99113.89,5240.0,34,75, Fri, 20/11/27, 14:27:11
75,1606487311,1373.62,5882.35,6666.66,27.23,37.03,99100.28,5168.0,33,76, Fri, 20/11/27, 14:28:31
76,1606487391,1377.41,5882.35,6666.66,27.15,37.02,99105.75,5198.0,34,77, Fri, 20/11/27, 14:29:51
77,1606487471,1373.62,5952.38,6666.66,27.22,37.99,99108.98,5289.0,34,78, Fri, 20/11/27, 14:31:11
78,1606487551,1377.41,5882.35,6666.66,27.45,37.09,99108.42,5400.0,34,79, Fri, 20/11/27, 14:32:31
79,1606487639,1381.21,5952.38,6666.66,27.5,36.64,99097.52,5376.0,34,80, Fri, 20/11/27, 14:33:59
80,1606487727,1377.41,5952.38,6666.66,27.43,36.47,99093.19,5429.0,34,81, Fri, 20/11/27, 14:35:27
81,1606487816,1381.21,5882.35,6666.66,27.38,37.19,99095.90,5299.0,34,82, Fri, 20/11/27, 14:36:56
82,1606487917,1385.04,5952.38,6578.94,27.39,37.35,99089.39,5399.0,34,83, Fri, 20/11/27, 14:38:37
83,1606487997,1381.21,5882.35,6666.66,27.44,36.66,99089.36,5464.0,34,84, Fri, 20/11/27, 14:39:57
84,1606488078,1388.88,5882.35,6666.66,27.35,36.28,99090.50,5205.0,34,85, Fri, 20/11/27, 14:41:18
85,1606488159,1388.88,5882.35,6666.66,27.27,37.56,99092.65,5165.0,34,86, Fri, 20/11/27, 14:42:39
86,1606488240,1388.88,5882.35,6666.66,27.34,37.0,99089.64,4976.0,34,87, Fri, 20/11/27, 14:44:00
